Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027472423.1	1.0	5.0	3.0	3.0	2.0	11.0	11.0	10.0	36.0	6.0	41.0	34.0	21.0	6.0	6.0	12.0	9.0	3.0	4.0
XP_027465270.1 (+26)	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	19.0	0.0	52.6	49.0	24.0	0.0	36.0	34.0	2.0	0.0	2.0
XP_027468048.1	17.0	10.0	7.0	6.0	8.0	10.0	19.0	13.0	12.0	11.0	8.0	5.0	18.0	11.0	24.0	7.0	13.0	13.0	11.0
XP_027478681.1 (+3)	10.0	8.0	8.0	0.0	8.0	11.0	18.0	19.0	3.0	5.0	14.0	22.0	36.0	8.0	7.0	16.0	10.0	6.0	13.0
XP_027461474.1	2.0	3.0	3.0	8.0	2.0	3.0	1.0	4.0	9.0	34.0	9.0	8.0	31.0	19.0	25.0	14.0	19.0	9.0	14.0
XP_027481586.1	9.0	3.0	0.0	1.0	2.0	8.0	5.0	10.0	17.0	19.0	21.0	15.0	20.0	13.0	19.0	14.0	9.0	11.0	17.0
XP_027432831.1 (+3)	18.0	11.0	10.0	2.0	6.0	13.0	18.0	20.0	14.0	3.0	15.0	12.0	10.0	2.0	12.0	16.0	16.0	3.0	11.0
XP_027467263.1 (+1)	6.4	7.3	0.0	0.0	8.3	14.8	5.2	14.4	20.7	8.0	21.7	17.6	17.1	16.7	18.5	10.4	11.8	4.8	7.5
XP_027472262.1	1.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	34.0	8.0	31.0	17.0	18.0	3.0	26.0	30.0	9.0	6.0	21.0
XP_027444006.1	0.0	0.0	0.0	0.0	0.0	0.0	21.7	8.0	35.4	8.0	28.3	16.3	12.6	8.0	33.5	19.1	5.0	5.0	8.0
XP_027435358.1	6.0	16.0	8.0	8.0	18.0	14.0	8.0	12.0	17.0	0.0	31.0	7.0	13.0	2.0	23.0	11.0	4.0	1.0	9.0
XP_027452874.1	2.0	3.0	3.0	0.0	2.0	4.0	4.0	12.0	67.0	4.0	22.0	16.0	10.0	5.0	13.0	15.0	10.0	4.0	12.0
XP_027468508.1	9.0	13.0	6.0	7.0	11.0	9.0	9.0	7.0	6.0	19.0	16.0	10.0	11.0	22.0	10.0	10.0	13.0	5.0	15.0
XP_027482195.1	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	10.0	38.0	15.0	19.0	7.0	26.0	20.0	14.0	1.0	21.0
XP_027428571.1 (+1)	2.0	10.0	7.0	19.0	3.0	3.0	1.0	7.0	1.0	28.0	8.0	3.0	20.0	32.0	16.0	7.0	13.0	11.0	15.0
XP_027434975.1	9.0	3.0	12.0	2.0	4.0	11.0	21.0	27.0	10.0	5.0	11.0	18.0	9.0	5.0	11.0	17.0	13.0	4.0	13.0
XP_027467719.1	9.0	14.0	11.0	14.0	13.0	18.0	6.0	26.0	24.0	3.0	19.0	5.0	10.0	4.0	16.0	9.0	2.0	1.0	1.0
XP_027449096.1	5.0	0.0	1.0	0.0	3.0	4.0	2.0	3.0	28.8	1.0	24.3	20.8	38.5	2.0	15.8	32.8	8.0	4.3	10.0
XP_027447624.1	8.0	7.0	2.0	4.0	6.0	14.0	9.0	27.9	23.0	4.8	24.5	14.0	16.6	6.7	8.5	13.0	6.0	1.0	7.0
XP_027427518.1	3.0	5.0	1.0	2.0	7.0	13.0	13.0	18.0	25.0	2.0	26.0	13.0	19.0	2.0	25.0	12.0	7.0	3.0	7.0
XP_027453163.1	28.0	22.0	35.0	17.0	25.0	16.0	12.0	4.0	3.0	0.0	3.0	6.0	4.0	0.0	2.0	21.0	2.0	1.0	1.0
XP_027455037.1	13.8	11.3	12.3	9.1	13.1	7.9	22.8	37.4	6.0	0.0	16.3	14.0	2.0	1.0	11.4	9.0	7.0	3.8	3.5
XP_027456771.1	8.5	12.0	7.6	24.7	30.0	19.0	0.0	0.0	1.5	0.0	32.3	18.0	0.0	0.0	11.0	19.2	5.5	2.0	10.0
XP_027442399.1 (+3)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	8.0	30.0	1.0	19.0	4.0	55.0	28.0	2.0	1.0	12.0
XP_027459663.1	11.0	16.0	7.0	9.0	41.0	24.9	10.0	20.9	5.0	0.0	11.0	7.0	12.0	0.0	7.0	9.0	1.0	2.0	5.0
XP_027475014.1 (+1)	10.0	7.0	4.0	6.0	13.0	23.0	19.0	19.0	9.0	3.0	18.0	11.0	7.0	0.0	13.0	15.0	8.0	4.0	9.0
XP_027457023.1	13.0	17.0	4.0	8.0	15.0	14.0	16.0	19.0	2.0	0.0	19.0	24.0	17.0	2.0	9.0	16.0	1.0	0.0	1.0
XP_027478563.1	11.0	6.0	10.0	7.0	10.0	7.0	13.0	8.0	9.0	7.0	9.0	12.0	11.0	8.0	12.0	15.0	18.0	8.0	16.0
XP_027481358.1	0.0	0.0	0.0	0.0	0.9	0.3	20.8	20.4	9.3	10.0	27.9	13.1	5.2	0.5	28.2	35.2	7.1	6.5	10.5
XP_027450391.1	12.0	22.0	2.0	3.0	17.0	11.0	6.0	10.0	9.0	2.0	23.0	25.0	17.0	3.0	14.0	13.0	3.0	1.0	2.0
XP_027462972.1	9.0	12.0	8.0	20.0	14.0	8.0	8.0	8.0	14.0	3.0	8.0	15.0	15.0	1.0	6.0	21.0	11.0	2.0	12.0
XP_027475200.1	18.9	2.0	11.0	0.0	1.0	29.0	22.0	34.0	15.0	0.0	9.0	13.0	10.0	0.0	3.0	11.0	6.0	4.0	6.0
XP_027450745.1	11.7	21.7	3.7	8.7	16.4	23.0	9.7	14.7	16.7	2.7	11.7	5.4	8.7	6.7	10.7	10.4	2.7	1.7	6.7
XP_027463881.1	4.8	20.6	0.0	4.0	19.6	18.6	5.6	2.7	20.2	2.0	13.3	13.1	27.3	6.5	12.4	12.7	2.9	2.7	3.4
XP_027473267.1	5.0	7.9	0.0	0.0	21.0	20.0	9.5	10.0	20.6	0.0	35.4	20.7	14.9	2.0	4.0	8.3	9.0	1.0	2.0
XP_027443796.1 (+1)	12.0	10.0	11.0	11.0	9.0	6.0	7.0	11.0	12.0	10.0	12.0	8.0	21.0	7.0	8.0	19.0	7.0	5.0	4.0
XP_027449903.1	16.0	13.0	10.0	8.5	0.0	29.0	16.0	9.0	3.5	5.0	6.0	9.0	9.6	9.6	7.3	5.7	14.0	10.0	7.0
XP_027477289.1 (+1)	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	3.0	33.0	16.0	20.0	2.0	16.0	16.0	5.0	1.0	21.0
XP_027424931.1	8.0	1.0	0.0	1.0	1.0	1.0	1.0	4.0	19.0	18.0	13.0	7.0	27.0	16.0	16.0	11.0	10.0	18.0	14.0
XP_027430135.1	11.0	3.0	5.0	0.0	3.0	6.0	10.0	15.0	12.0	2.0	12.0	18.0	7.0	3.0	13.0	28.0	14.0	11.0	13.0
XP_027466181.1	10.0	0.0	13.0	1.0	3.0	17.0	9.0	25.0	7.0	12.0	6.0	20.0	11.0	8.0	4.0	7.0	10.0	11.0	12.0
XP_027471337.1 (+1)	7.3	7.2	9.3	10.0	8.0	14.9	11.0	11.0	10.0	3.0	16.0	11.0	13.0	3.0	9.0	12.0	10.0	8.0	11.0
XP_027435548.1	12.0	16.0	22.0	19.0	17.0	28.0	19.0	12.0	2.0	0.0	3.0	8.0	3.0	1.0	2.0	9.0	3.0	3.0	5.0
XP_027433126.1 (+1)	13.0	18.0	15.0	14.0	13.0	12.0	16.0	10.0	7.0	1.0	9.0	12.0	7.0	0.0	3.0	12.0	6.0	4.0	10.0
XP_027435728.1 (+1)	6.0	8.0	9.0	10.0	11.0	13.0	9.0	6.0	7.0	5.0	9.0	25.0	11.0	2.0	6.0	12.0	10.0	9.0	13.0
XP_027462463.1	10.0	4.0	11.0	10.0	12.0	19.0	3.0	3.0	14.0	2.0	20.0	11.0	13.0	1.0	12.0	12.0	7.0	8.0	9.0
XP_027431822.1	12.0	20.0	12.0	18.0	15.0	17.0	17.0	8.0	13.0	2.0	12.0	4.0	6.0	1.0	7.0	4.0	4.0	0.0	6.0
XP_027436838.1	8.0	4.6	0.5	2.0	10.5	10.7	16.0	24.8	13.7	0.0	25.8	8.9	12.8	3.0	6.6	16.5	2.7	7.0	1.0
XP_027428797.1	27.0	19.0	20.0	16.0	15.0	20.0	13.0	7.0	1.0	0.0	4.0	13.0	2.0	0.0	2.0	8.0	2.0	2.0	4.0
XP_027459299.1	10.0	10.0	10.0	13.0	2.0	10.0	6.0	6.0	10.0	0.0	26.0	15.0	10.0	0.0	5.0	22.0	5.0	4.0	9.0
XP_027472365.1	0.0	4.0	0.0	0.0	1.3	0.0	3.0	4.0	40.9	4.0	24.7	21.8	25.7	7.0	13.9	7.0	10.0	2.0	3.0
XP_027455517.1	14.0	29.0	1.0	15.0	29.0	26.0	21.0	11.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	16.0	0.0	3.0
XP_027475311.1	6.0	1.0	1.0	0.0	3.0	5.0	3.0	17.0	27.0	0.0	37.0	5.0	23.0	0.0	21.0	14.0	1.0	2.0	4.0
XP_027440773.1	13.0	9.3	5.3	13.3	33.0	30.3	32.3	13.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.3	0.0	0.0
XP_027477840.1	13.0	5.0	3.0	4.0	5.0	4.0	6.0	14.0	8.0	0.0	27.0	18.0	14.0	0.0	10.0	23.0	3.0	6.0	6.0
XP_027477796.1	9.0	17.0	12.0	15.0	15.0	15.9	9.0	2.0	3.0	1.0	12.0	9.0	17.0	2.0	7.0	17.8	3.0	0.0	1.0
XP_027431765.1	7.0	21.0	2.0	3.0	15.0	11.0	5.0	13.0	8.0	1.0	21.0	23.0	10.0	1.0	8.0	16.0	0.0	1.0	1.0
XP_027454613.1	2.0	5.0	3.0	2.0	12.0	13.0	5.0	4.0	22.0	0.0	16.0	3.0	4.0	0.0	0.0	1.0	74.0	0.0	1.0
XP_027463195.1	4.0	6.0	4.0	7.0	7.0	10.0	4.0	3.0	10.0	8.0	11.0	16.0	14.0	5.0	20.0	15.0	8.0	5.0	10.0
XP_027469971.1 (+2)	19.0	23.0	15.0	20.0	24.0	15.0	14.0	7.0	0.0	0.0	6.0	5.0	1.0	1.0	4.0	4.0	1.0	0.0	8.0
XP_027479575.1	2.0	4.0	0.0	2.0	6.0	6.0	10.0	2.0	29.0	3.0	30.0	18.0	14.0	3.0	15.0	11.0	4.0	1.0	7.0
XP_027453328.1_family	1.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	29.0	5.0	25.0	11.0	13.0	1.0	38.0	23.0	2.0	1.0	9.0
XP_027465354.1	9.0	22.0	2.0	11.0	37.0	23.0	15.0	8.0	0.0	0.0	2.0	5.0	1.0	0.0	0.0	8.0	22.0	0.0	0.0
XP_027435513.1	13.0	18.0	8.0	15.0	11.0	7.0	20.0	17.0	2.0	1.0	4.0	7.0	6.0	5.0	8.0	10.0	3.0	3.0	6.0
XP_027441032.1	0.0	1.0	0.0	1.0	3.0	2.0	0.0	0.0	27.0	3.0	26.0	27.0	18.0	1.0	15.0	21.0	4.0	2.0	13.0
XP_027459671.1	10.0	10.0	0.0	4.0	13.0	12.0	11.0	15.4	16.0	1.0	16.4	13.0	15.0	8.0	5.0	9.0	3.0	1.0	1.0
XP_027434478.1	2.3	7.6	2.7	1.0	9.6	12.6	5.7	6.5	48.1	1.0	12.7	6.5	10.8	5.0	10.6	8.6	6.0	0.0	5.8
XP_027441922.1 (+1)	13.0	12.0	6.0	1.0	8.0	16.0	20.0	16.0	3.0	8.0	5.0	7.0	8.0	8.0	7.0	10.0	5.0	7.0	3.0
XP_027476813.1_family	5.3	7.1	5.1	2.3	10.9	9.1	7.3	9.9	35.1	1.8	17.7	13.3	7.5	1.0	14.5	6.3	4.3	0.8	3.5
XP_027442344.1 (+1)	1.0	0.0	1.0	1.0	1.0	0.0	1.0	4.0	10.0	17.0	8.0	15.0	29.0	17.0	11.0	11.0	9.0	5.0	20.0
XP_027467284.1	2.0	1.0	0.0	0.0	4.0	2.0	2.0	5.0	31.0	3.0	32.0	8.0	11.0	2.0	17.0	25.0	3.0	2.0	10.0
XP_027474675.1	10.0	14.0	13.0	12.0	16.0	11.0	26.0	25.0	4.0	0.0	7.0	9.0	2.0	2.0	2.0	4.0	1.0	0.0	2.0
XP_027474947.1	14.0	18.0	4.0	8.0	26.0	19.0	24.0	18.0	0.0	0.0	7.0	4.0	0.0	0.0	1.0	5.0	9.0	0.0	3.0
XP_027472409.1	9.6	20.7	5.0	6.0	40.4	21.1	15.7	18.5	0.0	0.0	5.0	0.0	1.0	0.0	0.0	12.5	0.0	0.0	4.3
XP_027437536.1	3.0	6.0	2.0	2.0	4.0	8.0	8.0	13.0	20.0	3.0	14.0	12.0	9.0	3.0	14.0	19.0	8.0	5.0	6.0
XP_027462696.1	2.0	0.0	0.0	1.0	2.0	2.0	3.0	18.0	18.0	1.0	17.0	11.0	12.0	3.0	17.0	26.0	11.0	2.0	12.0
XP_027467096.1 (+1)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	24.0	1.0	38.0	13.0	4.0	0.0	41.0	32.0	1.0	1.0	1.0
XP_027456773.1	8.5	8.0	11.4	12.3	20.0	19.0	22.0	33.0	1.5	0.0	2.7	6.0	4.0	0.0	0.0	3.8	5.5	0.0	0.0
XP_027436019.1	14.0	12.0	10.0	11.0	17.0	20.0	14.0	8.0	2.0	0.0	7.0	5.0	5.0	2.0	3.0	5.0	7.0	5.0	7.0
XP_027443581.1 (+1)	7.0	3.0	2.0	0.0	11.0	11.0	20.0	25.0	13.0	0.0	21.0	10.0	6.0	0.0	3.0	13.0	1.0	6.0	2.0
XP_027462990.1	9.0	27.0	17.0	21.0	19.0	21.0	16.0	11.0	1.0	1.0	1.0	4.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0
XP_027463997.1	13.0	10.0	4.0	4.0	10.0	9.0	7.0	4.0	18.0	0.0	19.0	11.0	5.0	1.0	16.0	11.0	2.0	3.0	7.0
XP_027429283.1	7.0	6.0	8.0	3.0	5.0	4.0	6.0	7.0	10.0	4.0	14.0	19.0	12.0	3.0	7.0	11.0	11.0	7.0	9.0
XP_027445634.1	3.0	23.0	0.0	17.0	39.0	35.0	7.0	16.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
XP_027473595.1	3.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	16.0	0.0	44.0	12.0	9.0	2.0	10.0	22.0	15.0	0.0	15.0
XP_027469250.1	4.0	9.0	3.0	1.0	4.0	8.0	9.0	21.0	12.0	0.0	16.0	23.0	9.0	1.0	8.0	13.0	5.0	3.0	3.0
XP_027430366.1	4.0	8.0	3.0	2.0	8.0	5.0	10.0	22.0	9.0	5.0	10.0	7.0	18.0	5.0	13.0	9.0	6.0	5.0	2.0
XP_027468946.1	4.0	7.0	10.0	14.0	6.0	7.0	9.0	2.0	7.0	1.0	14.0	7.0	9.0	1.0	16.0	9.0	12.0	5.0	11.0
XP_027478121.1	7.0	10.0	8.0	6.0	18.4	17.0	12.4	9.0	6.0	1.0	17.0	12.0	10.0	2.0	5.0	3.0	4.0	1.0	2.0
XP_027473916.1	3.0	8.0	2.0	0.0	10.0	17.0	11.0	11.0	18.0	2.0	14.0	10.0	12.0	2.0	3.0	7.0	19.0	1.0	0.0
XP_027430444.1 (+1)	0.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	6.2	1.0	32.5	12.8	9.3	1.0	42.4	21.8	4.0	0.0	7.0
XP_027423293.1	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	22.0	12.0	4.0	22.0	48.0	2.0	0.0	16.0	11.8	4.0	5.0
XP_027450975.1	10.0	18.0	15.0	8.0	21.0	13.0	12.0	3.0	7.0	1.0	3.0	6.0	8.0	6.0	2.0	6.0	3.0	0.0	7.0
XP_027472545.1	8.0	10.0	9.0	12.0	11.0	5.0	7.0	5.0	8.0	3.0	14.0	9.0	6.0	2.0	15.0	13.0	2.0	3.0	7.0
XP_027472834.1 (+1)	14.0	18.0	10.0	18.0	18.0	16.0	13.0	15.0	1.0	0.0	9.0	0.0	4.0	1.0	6.0	6.0	0.0	0.0	0.0
XP_027468898.1	8.0	9.0	13.0	12.0	15.0	9.0	9.0	7.0	7.0	4.0	5.0	8.0	5.0	2.0	8.0	10.0	7.0	2.0	8.0
XP_027428841.1	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	25.0	12.0	15.0	10.0	2.0	21.0	15.0	24.4	2.0	10.0
XP_027439195.1 (+1)	11.0	14.0	13.0	14.0	17.0	22.0	13.0	5.0	3.0	1.0	0.0	9.0	3.0	0.0	1.0	9.0	4.0	3.0	5.0
XP_027430539.1	13.0	13.0	13.0	10.0	15.0	16.0	13.0	18.0	0.0	4.0	0.0	10.0	0.0	0.0	9.0	2.0	10.0	0.0	0.0
XP_027431163.1	12.0	10.0	15.0	21.0	22.0	18.0	12.0	8.0	2.0	1.0	5.0	5.0	1.0	0.0	4.0	3.0	3.0	1.0	3.0
XP_027454171.1	3.0	10.0	0.0	2.0	12.0	10.0	4.0	23.0	20.0	0.0	23.0	13.0	12.0	0.0	7.0	1.0	5.0	0.0	0.0
XP_027435477.1	6.0	8.0	2.0	1.0	7.0	8.0	5.0	10.0	23.0	2.0	21.0	11.0	9.0	2.0	12.0	10.0	2.0	0.0	5.0
XP_027451046.1 (+1)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	23.0	4.0	26.0	12.0	19.0	3.0	19.0	29.0	2.0	0.0	4.0
XP_027475581.1	5.0	12.5	15.5	12.4	30.1	18.1	15.1	7.0	2.0	0.0	5.0	4.0	0.0	0.0	2.0	11.0	1.0	2.0	1.0
XP_027470155.1	9.0	12.0	10.0	9.0	22.0	17.0	15.0	16.0	0.0	1.0	2.0	3.0	3.0	2.0	1.0	9.0	4.0	4.0	4.0
XP_027426193.1_family	2.1	6.4	1.7	1.4	6.4	12.1	14.8	5.1	32.9	0.0	22.2	13.1	6.7	0.7	4.7	5.7	3.1	0.7	2.1
XP_027426400.1 (+1)	8.0	20.0	0.0	3.0	21.0	15.0	11.0	5.0	9.0	0.0	26.0	9.0	2.0	0.0	3.0	8.0	0.0	0.0	1.0
XP_027437980.1	9.0	12.0	14.0	8.0	14.0	26.0	8.0	9.0	5.0	0.0	7.0	11.0	1.0	1.0	1.0	5.0	2.0	3.0	5.0
XP_027438316.1	1.0	7.0	0.0	0.0	4.0	3.0	1.0	3.0	23.0	7.0	22.0	22.0	19.0	4.0	6.0	7.0	6.0	3.0	3.0
XP_027451634.1	7.0	3.0	1.0	5.0	5.0	7.0	6.0	5.0	5.0	0.0	20.0	15.0	16.0	3.0	8.0	8.0	10.0	4.0	13.0
XP_027475373.1 (+1)	13.0	10.5	15.5	13.6	12.9	14.9	12.9	9.0	6.0	0.0	8.0	5.0	3.0	0.0	3.0	9.0	3.0	0.0	1.0
XP_027427656.1	1.1	7.9	5.9	1.2	11.1	9.3	11.4	9.3	16.0	2.0	12.2	17.3	10.1	2.4	11.4	5.3	2.2	1.0	3.0
XP_027459184.1	6.0	14.0	1.0	5.0	31.0	20.0	10.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	35.0	1.0	2.0
XP_027436378.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.2	8.3	27.0	8.4	10.1	0.0	9.1	7.4	6.5	0.0	10.5
XP_027425332.1	4.0	6.0	0.0	0.0	2.0	1.0	1.0	3.0	13.0	2.0	20.7	24.0	13.7	9.0	15.0	16.0	7.0	1.0	0.0
XP_027450394.1	2.0	3.0	6.0	2.0	15.0	23.0	9.0	14.0	11.0	1.0	12.0	8.0	8.0	0.0	9.0	8.0	1.0	0.0	6.0
XP_027474811.1	0.0	1.1	2.1	1.2	2.2	4.3	10.3	7.2	42.4	0.0	29.4	15.3	3.2	2.4	4.2	6.4	5.5	0.0	0.0
XP_027436133.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	24.0	7.0	14.0	1.0	28.0	14.0	4.0	0.0	20.0
XP_027443654.1	8.0	15.0	19.0	15.0	16.0	20.0	10.0	20.0	1.0	0.0	2.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
XP_027482011.1	1.0	1.0	0.0	1.0	0.0	2.0	2.0	2.0	31.0	13.0	29.0	8.0	8.0	6.0	9.0	8.0	4.0	0.0	12.0
XP_027435148.1	7.0	11.5	9.5	13.0	11.0	13.0	6.0	3.0	4.0	0.0	12.0	5.0	5.0	4.0	7.0	15.0	3.0	2.0	6.0
XP_027473938.1	8.0	5.0	3.0	6.0	18.0	21.0	11.0	22.0	1.0	0.0	6.0	6.0	6.0	0.0	7.0	8.0	3.0	3.0	2.0
XP_027476940.1 (+3)	7.0	17.0	14.0	16.0	15.0	7.0	12.0	3.0	1.0	5.0	0.0	2.0	3.0	15.0	8.0	3.0	2.0	3.0	3.0
XP_027439002.1	4.0	19.0	10.0	12.0	23.0	14.0	10.0	3.0	11.0	0.0	5.0	3.0	5.0	4.0	1.0	5.0	0.0	0.0	4.0
XP_027440893.1	6.0	0.0	7.0	5.0	6.0	5.0	3.0	0.0	20.0	3.0	15.0	14.0	11.0	3.0	13.0	15.0	4.0	1.0	2.0
XP_027442107.1	7.0	9.0	9.0	17.0	10.0	6.0	10.0	6.0	5.0	1.0	5.0	11.0	4.0	1.0	5.0	7.0	9.0	5.0	4.0
XP_027429389.1	16.0	13.0	22.0	18.0	8.0	10.0	11.0	7.0	0.0	0.0	5.0	2.0	0.0	0.0	3.0	7.0	8.0	0.0	0.0
XP_027440792.1 (+1)	11.0	21.0	2.0	8.0	29.0	26.0	8.0	9.0	3.0	0.0	7.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
XP_027468143.1	4.0	12.0	11.0	14.0	19.0	4.0	4.0	1.0	4.0	2.0	5.0	10.0	9.0	14.0	3.0	3.0	4.0	1.0	4.0
XP_027437462.1_family	0.0	1.0	0.0	1.0	1.0	3.0	2.0	7.0	16.0	6.0	16.0	16.0	17.0	1.0	16.0	13.0	2.0	6.0	3.0
XP_027429315.1	5.0	22.0	26.0	20.0	13.0	6.0	8.0	2.0	3.0	0.0	3.0	4.0	2.0	0.0	2.0	3.0	1.0	3.0	3.0
XP_027458536.1	6.0	7.0	6.0	6.0	1.0	3.0	2.0	3.0	6.0	1.0	15.0	11.0	4.0	1.0	6.0	4.0	30.0	1.0	13.0
XP_027467766.1	5.0	5.0	6.0	1.0	3.0	5.0	4.0	4.0	7.0	5.0	13.0	9.0	10.0	2.0	6.0	14.0	6.0	3.0	18.0
XP_027482215.1	7.0	12.0	12.0	8.0	16.0	18.0	6.0	8.0	3.0	0.0	6.0	7.0	4.0	0.0	1.0	3.0	10.0	2.0	3.0
XP_027449765.1	1.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	26.2	0.0	5.0	10.0	27.0	0.0	3.0	14.2	16.4	10.2
XP_027462718.1	2.0	2.0	1.0	1.0	2.0	2.0	1.0	12.0	10.0	3.0	18.0	11.0	7.0	3.0	15.0	12.0	7.0	4.0	12.0
XP_027479886.1 (+1)	9.0	11.0	8.0	5.0	8.0	3.0	5.0	1.0	12.0	1.0	14.0	10.0	9.0	1.0	4.0	15.0	2.0	0.0	7.0
XP_027480559.1	2.0	11.0	0.0	6.0	32.0	27.0	14.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	19.0	0.0	0.0
XP_027466032.1_family	0.3	1.2	0.0	0.6	1.9	1.2	0.0	3.9	33.6	4.2	13.3	10.0	14.8	3.6	15.3	12.4	1.6	2.9	3.7
XP_027471764.1_family	2.0	9.7	1.5	1.5	6.7	2.1	3.6	5.0	20.9	0.6	26.7	21.0	7.8	1.5	3.0	5.2	3.3	0.0	1.7
XP_027472812.1	2.0	0.0	0.3	0.0	0.0	0.0	0.2	0.0	61.4	47.8	5.0	0.5	0.3	0.7	0.7	1.1	1.5	0.0	1.0
XP_027449191.1	9.0	5.0	5.0	3.0	0.0	5.0	8.0	11.0	8.0	3.0	12.0	7.0	6.0	7.0	7.0	6.0	5.0	2.0	12.0
XP_027447042.1 (+1)	2.4	7.7	0.9	3.7	10.8	7.7	4.8	8.6	15.9	3.7	13.2	13.5	8.6	3.7	4.8	7.7	2.7	0.0	0.0
XP_027428199.1	6.0	11.0	6.0	6.0	9.0	14.0	7.0	7.0	6.0	0.0	8.0	7.0	10.0	8.0	0.0	9.0	0.0	1.0	5.0
XP_027452654.1_family	0.0	6.0	6.0	10.0	5.0	2.0	4.0	0.0	1.0	0.0	3.0	7.0	1.0	0.0	5.0	12.0	58.0	0.0	0.0
XP_027431660.1	9.0	15.0	5.0	12.0	21.0	10.0	9.0	10.0	2.0	0.0	4.0	2.0	2.0	1.0	0.0	4.0	6.0	0.0	7.0
XP_027475258.1 (+1)	6.0	16.0	11.0	19.0	19.0	20.0	15.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0
XP_027424072.1	2.0	6.0	2.0	5.0	7.0	6.0	7.0	4.0	16.0	1.0	24.0	6.0	5.0	1.0	10.0	9.0	2.0	1.0	4.0
XP_027429085.1 (+1)	9.0	12.0	12.0	6.0	8.0	4.0	9.0	12.0	6.0	0.0	6.0	8.0	4.0	0.0	5.0	8.0	4.0	1.0	4.0
XP_027436849.1	7.0	13.0	7.0	14.0	8.0	10.0	10.0	12.0	4.0	1.0	4.0	5.0	3.0	0.0	6.0	6.0	3.0	3.0	2.0
XP_027440797.1	5.0	3.0	3.0	1.0	5.0	9.0	9.0	13.0	8.0	0.0	15.0	8.0	8.0	0.0	8.0	7.0	6.0	3.0	7.0
XP_027465275.1	2.0	0.0	2.0	0.0	1.0	5.0	4.0	17.0	13.0	1.0	15.0	9.0	4.0	2.0	16.0	12.0	7.0	1.0	7.0
XP_027476798.1	5.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	12.0	4.0	11.0	24.0	12.0	0.0	5.0	15.0	14.0	3.0	10.0
XP_027440973.1	5.0	8.0	3.0	3.0	5.0	4.0	1.0	7.0	7.0	9.0	7.0	6.0	6.0	11.0	8.0	10.0	6.0	3.0	8.0
XP_027457062.1	7.0	7.0	3.0	6.0	7.0	2.0	3.0	3.0	8.0	7.0	13.0	7.0	9.0	3.0	8.0	10.0	4.0	2.0	8.0
XP_027479621.1	18.0	19.0	24.0	11.0	13.0	13.0	8.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0
XP_027454693.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	1.0	24.0	1.0	8.0	0.0	38.0	17.0	2.0	1.0	5.0
XP_027464485.1 (+1)	2.0	0.0	1.0	2.0	5.0	0.0	5.0	6.0	18.0	3.0	16.0	13.0	17.0	3.0	7.0	7.0	8.0	0.0	3.0
XP_027470122.1	4.0	14.0	13.0	10.0	6.0	16.9	12.0	10.0	1.0	0.0	6.0	8.0	3.0	0.0	2.0	5.0	1.0	2.0	2.0
XP_027449906.1	0.0	13.0	10.0	8.5	23.0	0.0	0.0	0.0	3.5	5.0	9.0	9.0	6.4	6.4	3.7	11.3	0.0	0.0	7.0
XP_027431219.1	2.0	1.0	0.0	0.0	0.0	0.0	2.0	6.0	5.0	14.0	13.0	7.0	15.0	15.0	10.0	7.0	10.0	1.0	7.0
