Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027451349.1	45.0	83.0	33.0	71.0	104.0	67.0	43.0	42.0	0.0	0.0	14.0	3.0	2.0	0.0	5.0	18.0	4.0	0.0	7.0
XP_027457158.1	27.2	52.1	6.0	49.2	89.5	70.7	35.4	40.0	27.8	4.0	40.7	23.9	12.2	8.5	13.7	17.3	7.1	2.3	8.6
XP_027469787.1 (+1)	32.0	46.0	30.0	43.0	35.0	40.0	29.0	13.0	32.0	31.0	12.0	23.0	20.0	25.0	18.0	35.0	19.0	18.0	35.0
XP_027475574.1	27.0	17.0	20.0	28.0	30.0	24.0	17.0	18.0	60.0	35.0	46.0	19.0	22.0	35.0	38.0	31.0	18.0	19.0	22.0
XP_027479022.1	13.0	7.0	8.0	12.0	13.0	17.0	18.0	14.0	30.0	29.0	54.0	44.0	41.0	35.0	48.0	49.0	38.0	16.0	38.0
XP_027477231.1 (+1)	33.0	82.0	35.0	76.0	65.0	48.0	39.0	26.0	12.0	3.0	14.0	10.0	12.0	5.0	8.0	19.0	12.0	7.0	15.0
XP_027435683.1	10.0	10.0	11.0	2.0	13.0	11.0	8.0	18.0	38.0	60.0	36.0	21.0	56.0	71.0	49.0	40.0	22.0	22.0	20.0
XP_027457781.1 (+1)	21.0	48.0	61.0	68.0	73.0	80.0	39.0	32.0	3.0	0.0	13.0	15.0	8.0	1.0	12.0	28.0	6.0	3.0	3.0
XP_027430801.1_family	38.0	61.8	15.8	43.8	90.7	74.8	34.8	37.8	0.0	0.0	21.0	4.0	2.0	9.0	2.0	24.0	28.8	5.0	16.0
XP_027452987.1	49.0	78.0	73.0	65.0	69.0	33.0	45.0	27.0	1.0	0.0	4.0	12.0	7.0	0.0	9.0	14.0	0.0	0.0	6.0
XP_027453732.1	29.0	46.0	32.0	44.0	42.0	34.0	33.0	21.0	27.0	10.0	20.0	31.0	23.0	10.0	24.0	20.0	15.0	13.0	18.0
XP_027480774.1_family	25.0	47.0	29.0	36.0	40.0	35.0	32.0	19.0	17.0	11.0	19.0	27.0	26.0	21.0	9.0	23.0	25.0	10.0	34.0
