AverageSpC	FracMissing
6.6842	0.0810
6.6316	0.0811
6.6316	0.0808
6.6316	0.0806
6.6316	0.0807
6.6305	0.0815
6.5789	0.0813
6.5789	0.0812
6.5789	0.0826
6.5594	0.0826
6.5167	0.0825
6.4467	0.0833
6.3684	0.0832
6.3231	0.0832
6.3158	0.0835
6.3158	0.0841
6.2632	0.0844
6.2632	0.0852
6.2105	0.0850
6.2105	0.0850
6.2105	0.0849
6.2105	0.0850
6.2105	0.0850
6.2105	0.0857
6.1579	0.0855
6.1579	0.0852
6.1579	0.0859
6.1053	0.0869
6.1053	0.0871
6.1022	0.0871
6.0947	0.0878
6.0526	0.0881
6.0526	0.0891
6.0429	0.0893
6.0000	0.0890
6.0000	0.0891
6.0000	0.0893
5.9948	0.0894
5.9798	0.0895
5.9600	0.0895
5.9474	0.0902
5.8947	0.0899
5.8421	0.0897
5.8421	0.0903
5.8368	0.0913
5.8124	0.0920
5.7895	0.0917
5.7797	0.0919
5.7368	0.0922
5.7368	0.0927
5.7368	0.0926
5.7270	0.0926
5.6842	0.0929
5.6842	0.0930
5.6842	0.0930
5.6842	0.0930
5.6842	0.0935
5.6455	0.0932
5.6408	0.0935
5.6316	0.0948
5.6316	0.0954
5.5789	0.0960
5.5789	0.0968
5.5779	0.0971
5.5263	0.0969
5.5263	0.0977
5.4737	0.0980
5.4737	0.0978
5.4737	0.0981
5.4737	0.0985
5.4211	0.0986
5.4211	0.0989
5.4211	0.0991
5.3684	0.0991
5.3684	0.0992
5.3158	0.0994
5.3158	0.0993
5.3158	0.1001
5.3158	0.0998
5.3158	0.1016
5.2632	0.1017
5.2105	0.1017
5.2105	0.1026
5.1804	0.1028
5.1579	0.1033
5.1579	0.1034
5.1053	0.1034
5.1053	0.1034
5.0637	0.1037
5.0526	0.1037
5.0526	0.1044
5.0526	0.1046
5.0154	0.1049
5.0000	0.1049
5.0000	0.1046
5.0000	0.1046
4.9755	0.1045
4.9592	0.1049
4.9474	0.1049
4.9474	0.1049
4.9474	0.1046
4.9474	0.1044
4.9474	0.1044
4.9474	0.1053
4.9474	0.1059
4.9474	0.1059
4.9027	0.1063
4.8961	0.1063
4.8421	0.1062
4.8421	0.1067
4.8421	0.1072
4.7895	0.1072
4.7895	0.1071
4.7895	0.1072
4.7388	0.1075
4.7372	0.1072
4.7368	0.1076
4.6842	0.1083
4.6842	0.1083
4.6842	0.1085
4.6776	0.1085
4.6316	0.1086
4.6316	0.1090
4.6078	0.1087
4.5789	0.1089
4.5789	0.1099
4.5789	0.1109
4.5325	0.1118
4.5267	0.1120
4.5263	0.1123
4.5263	0.1128
4.4737	0.1132
4.4211	0.1138
4.3684	0.1139
4.3684	0.1139
4.3684	0.1140
4.3608	0.1139
4.3158	0.1147
4.3158	0.1153
4.3158	0.1161
4.3158	0.1162
4.2652	0.1166
4.2632	0.1166
4.2632	0.1167
4.2632	0.1171
4.2632	0.1176
4.2491	0.1175
4.2105	0.1185
4.2105	0.1184
4.2105	0.1191
4.2105	0.1192
4.2105	0.1195
4.2105	0.1192
4.2105	0.1195
4.2009	0.1195
4.1929	0.1198
4.1579	0.1207
4.1579	0.1207
4.1579	0.1208
4.1579	0.1211
4.1579	0.1210
4.1053	0.1215
4.1053	0.1213
4.1053	0.1219
4.1053	0.1219
4.1053	0.1221
4.0996	0.1223
4.0526	0.1224
4.0526	0.1235
4.0526	0.1244
4.0526	0.1247
4.0000	0.1251
4.0000	0.1253
3.9992	0.1262
3.9474	0.1261
3.9474	0.1261
3.9474	0.1268
3.9474	0.1273
3.9474	0.1272
3.9078	0.1274
3.8947	0.1272
3.8947	0.1276
3.8947	0.1282
3.8947	0.1286
3.8947	0.1291
3.8421	0.1299
3.8421	0.1298
3.8421	0.1304
3.8421	0.1303
3.8275	0.1311
3.7895	0.1314
3.7895	0.1320
3.7895	0.1319
3.7895	0.1323
3.7895	0.1325
3.7686	0.1322
3.7368	0.1322
3.7368	0.1327
3.7368	0.1336
3.7368	0.1335
3.6842	0.1337
3.6842	0.1348
3.6842	0.1353
3.6842	0.1357
3.6842	0.1355
3.6842	0.1359
3.6316	0.1366
3.6316	0.1371
3.6316	0.1375
3.6316	0.1380
3.6316	0.1377
3.6316	0.1376
3.6139	0.1375
3.5789	0.1375
3.5359	0.1378
3.5263	0.1381
3.5263	0.1386
3.4737	0.1389
3.4737	0.1389
3.4737	0.1395
3.4737	0.1395
3.4718	0.1400
3.4574	0.1403
3.4211	0.1409
3.4211	0.1409
3.3695	0.1415
3.3684	0.1416
3.3684	0.1424
